Estación,Fecha,hora,Temperatura promedio,Temperatura máxima,Temperatura mínima,Humedad relativa,Precipitación,Radiación solar,Velocidad del viento,Dirección de viento,Presión barométrica,Evapotranspiración
"BLOCK 910 (CIANO)","2019-12-22","11:00:00","26.59","27.80","25.67","21.92","0.00","550.32","1.35","32.49","1007.54","0.41",
"BLOCK 910 (CIANO)","2019-12-22","12:00:00","28.47","30.37","26.71","19.47","0.00","618.65","1.49","291.35","1006.40","0.48",
"BLOCK 910 (CIANO)","2019-12-22","13:00:00","29.56","30.40","28.80","18.23","0.00","637.53","8.27","177.79","1005.19","0.72",
"BLOCK 910 (CIANO)","2019-12-22","14:00:00","29.12","30.45","27.74","20.13","0.00","466.32","9.46","195.37","1004.50","0.65",
"BLOCK 910 (CIANO)","2019-12-22","15:00:00","27.66","28.28","27.00","23.14","0.00","277.02","8.19","196.71","1004.32","0.49",
"BLOCK 910 (CIANO)","2019-12-22","16:00:00","27.35","28.01","26.26","23.55","0.00","226.58","6.96","205.09","1004.40","0.43",
"BLOCK 910 (CIANO)","2019-12-22","17:00:00","23.68","26.28","21.24","28.93","0.00","22.21","3.42","232.96","1004.22","0.14",
"BLOCK 910 (CIANO)","2019-12-22","18:00:00","20.17","21.45","18.66","35.26","0.00","0.02","2.71","273.64","1003.77","0.08",
"BLOCK 910 (CIANO)","2019-12-22","19:00:00","16.27","18.64","14.81","41.27","0.00","0.00","1.44","24.66","1003.47","0.03",
"BLOCK 910 (CIANO)","2019-12-22","20:00:00","15.04","15.52","14.61","44.23","0.00","0.00","2.96","34.44","1003.60","0.11",
"BLOCK 910 (CIANO)","2019-12-22","21:00:00","14.57","15.26","13.69","46.41","0.00","0.00","2.75","32.23","1003.64","0.10",
"BLOCK 910 (CIANO)","2019-12-22","22:00:00","13.77","14.37","13.35","50.44","0.00","0.00","1.08","37.05","1003.62","0.05",
"BLOCK 910 (CIANO)","2019-12-22","23:00:00","13.93","14.55","13.24","53.92","0.00","0.00","4.23","159.94","1003.32","0.11",
"BLOCK 910 (CIANO)","2019-12-23","00:00:00","12.68","14.10","11.39","58.00","0.00","0.00","2.11","169.25","1003.31","0.03",
"BLOCK 910 (CIANO)","2019-12-23","01:00:00","10.53","11.39","9.80","60.60","0.00","0.00","4.18","66.52","1003.27","0.06",
"BLOCK 910 (CIANO)","2019-12-23","02:00:00","10.85","11.62","10.44","60.99","0.00","0.00","3.70","33.41","1002.80","0.05",
"BLOCK 910 (CIANO)","2019-12-23","03:00:00","10.89","12.52","10.03","61.79","0.00","0.00","2.89","27.77","1002.85","0.04",
"BLOCK 910 (CIANO)","2019-12-23","04:00:00","9.90","10.83","9.54","64.25","0.00","0.00","5.03","51.63","1002.53","0.06",
"BLOCK 910 (CIANO)","2019-12-23","05:00:00","10.03","10.87","9.15","67.84","0.00","0.00","3.69","130.43","1002.21","0.04",
"BLOCK 910 (CIANO)","2019-12-23","06:00:00","10.59","11.41","9.70","66.63","0.00","0.07","3.69","301.28","1002.89","0.03",
"BLOCK 910 (CIANO)","2019-12-23","07:00:00","10.53","11.30","9.70","68.03","0.00","32.14","0.97","47.90","1003.62","0",
"BLOCK 910 (CIANO)","2019-12-23","08:00:00","13.11","14.51","10.46","63.72","0.00","142.06","3.75","139.05","1004.38","0.10",
"BLOCK 910 (CIANO)","2019-12-23","09:00:00","17.28","20.33","14.45","51.47","0.00","277.98","1.97","97.60","1004.98","0.17",
"BLOCK 910 (CIANO)","2019-12-23","10:00:00","22.31","24.65","20.01","35.99","0.00","411.55","6.94","90.93","1005.26","0.40",
"BLOCK 910 (CIANO)","2019-12-23","11:00:00","25.66","26.77","24.36","28.04","0.00","547.13","7.28","112.56","1004.81","0.54",
"BLOCK 910 (CIANO)","2019-12-23","12:00:00","26.00","26.74","25.60","29.41","0.00","502.73","9.12","171.86","1004.00","0.55",
"BLOCK 910 (CIANO)","2019-12-23","13:00:00","26.11","26.83","25.67","30.57","0.00","526.02","10.72","167.90","1003.31","0.58",
"BLOCK 910 (CIANO)","2019-12-23","14:00:00","26.67","27.23","26.29","31.70","0.00","346.83","9.80","174.71","1002.61","0.50",
"BLOCK 910 (CIANO)","2019-12-23","15:00:00","26.08","27.17","25.62","27.74","0.00","227.52","8.33","215.39","1002.73","0.43",
"BLOCK 910 (CIANO)","2019-12-23","16:00:00","23.67","25.63","22.08","34.64","0.00","101.96","8.39","227.84","1002.69","0.31",
"BLOCK 910 (CIANO)","2019-12-23","17:00:00","20.74","22.07","18.51","49.34","0.00","14.62","2.79","195.51","1002.62","0.07",
"BLOCK 910 (CIANO)","2019-12-23","18:00:00","17.19","18.49","16.59","57.96","0.00","0.00","1.77","113.29","1002.47","0.03",
"BLOCK 910 (CIANO)","2019-12-23","19:00:00","15.46","16.65","14.58","66.66","0.00","0.00","1.48","111.40","1002.48","0.01",
"BLOCK 910 (CIANO)","2019-12-23","20:00:00","14.55","15.66","13.49","75.39","0.00","0.00","4.41","127.63","1002.61","0.06",
"BLOCK 910 (CIANO)","2019-12-23","21:00:00","15.13","16.22","14.14","65.27","0.00","0.00","6.44","109.18","1002.51","0.11",
"BLOCK 910 (CIANO)","2019-12-23","22:00:00","15.97","16.20","15.42","58.76","0.00","0.00","7.83","109.06","1002.27","0.15",
"BLOCK 910 (CIANO)","2019-12-23","23:00:00","17.16","18.53","15.66","49.78","0.00","0.00","12.13","100.86","1001.29","0.22",
"BLOCK 910 (CIANO)","2019-12-24","00:00:00","16.58","18.75","15.09","50.29","0.00","0.00","6.31","143.43","1001.43","0.14",
"BLOCK 910 (CIANO)","2019-12-24","01:00:00","14.13","15.12","13.49","62.85","0.00","0.00","4.58","217.13","1002.16","0.07",
"BLOCK 910 (CIANO)","2019-12-24","02:00:00","13.22","13.71","12.91","69.67","0.00","0.00","2.73","130.18","1002.32","0.03",
"BLOCK 910 (CIANO)","2019-12-24","03:00:00","14.82","16.73","13.53","65.13","0.00","0.00","9.11","99.76","1001.86","0.11",
"BLOCK 910 (CIANO)","2019-12-24","04:00:00","17.33","17.69","16.67","52.98","0.00","0.00","16.01","118.75","1000.35","0.22",
"BLOCK 910 (CIANO)","2019-12-24","05:00:00","16.11","17.14","15.24","63.39","0.00","0.00","2.53","214.43","1001.34","0.04",
"BLOCK 910 (CIANO)","2019-12-24","06:00:00","16.25","16.75","15.29","63.73","0.00","0.00","8.58","124.56","1001.21","0.12",
"BLOCK 910 (CIANO)","2019-12-24","07:00:00","16.85","17.54","16.34","59.67","0.00","6.49","13.73","114.55","1000.93","0.16",
"BLOCK 910 (CIANO)","2019-12-24","08:00:00","18.49","20.58","17.15","59.12","0.00","146.67","19.37","129.01","1000.83","0.24",
"BLOCK 910 (CIANO)","2019-12-24","09:00:00","20.50","21.43","19.60","63.60","0.00","122.72","20.04","153.68","1001.65","0.23",
"BLOCK 910 (CIANO)","2019-12-24","10:00:00","21.31","21.60","20.45","67.13","0.00","95.27","22.07","163.52","1001.84","0.22",
"BLOCK 910 (CIANO)","2019-12-24","11:00:00","19.58","20.64","18.58","75.99","1.20","70.26","17.55","167.29","1001.81","0.13",
"BLOCK 910 (CIANO)","2019-12-24","12:00:00","19.45","19.87","18.46","89.63","3.70","42.65","6.36","204.58","1002.47","0.03",
"BLOCK 910 (CIANO)","2019-12-24","13:00:00","18.28","18.82","17.82","94.17","3.10","131.88","6.74","253.57","1002.47","0.05",
"BLOCK 910 (CIANO)","2019-12-24","14:00:00","19.30","19.70","18.63","86.88","0.00","182.42","9.27","227.78","1002.67","0.10",
"BLOCK 910 (CIANO)","2019-12-24","15:00:00","19.43","19.63","19.27","81.52","0.00","113.69","5.30","218.78","1002.99","0.08",
"BLOCK 910 (CIANO)","2019-12-24","16:00:00","18.80","19.54","18.55","89.67","0.00","75.27","10.20","151.56","1003.28","0.05",
"BLOCK 910 (CIANO)","2019-12-24","17:00:00","18.31","19.28","17.51","92.53","0.00","35.23","12.62","119.05","1003.28","0.03",
"BLOCK 910 (CIANO)","2019-12-24","18:00:00","16.78","17.55","16.06","93.78","0.00","0.02","14.65","108.20","1003.21","0.01",
"BLOCK 910 (CIANO)","2019-12-24","19:00:00","15.82","16.06","15.55","93.48","0.00","0.00","14.51","105.48","1003.43","0.02",
"BLOCK 910 (CIANO)","2019-12-24","20:00:00","15.45","15.64","15.01","93.20","0.00","0.00","9.96","106.01","1003.82","0.03",
"BLOCK 910 (CIANO)","2019-12-24","21:00:00","14.23","15.00","13.68","94.47","0.00","0.00","4.74","123.73","1003.71","0.02",
"BLOCK 910 (CIANO)","2019-12-24","22:00:00","13.55","14.21","12.94","94.70","0.00","0.00","3.90","140.70","1003.63","0.02",
"BLOCK 910 (CIANO)","2019-12-24","23:00:00","13.29","13.65","12.86","94.62","0.00","0.00","4.90","154.71","1003.42","0.02",
"BLOCK 910 (CIANO)","2019-12-25","00:00:00","12.90","13.47","12.26","94.63","0.00","0.00","2.48","11.74","1003.22","0",
